Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total,Tier
117,Karter Knox,Arkansas,4,2.8,22.2,8.1,4.5,1.2,0.7,0.5,15,42,Tier 4
118,Otega Oweh,Kentucky,7,1.5,32.4,18.2,4.6,2.6,1.8,0.2,27.4,41.1,Tier 4
119,Tre Donaldson,Miami (FL),7,1.5,33.9,16.5,3.5,5.8,1.3,0.2,27.3,41,Tier 4
120,Tyler Nickel,Vanderbilt,5,2.1,30.4,13.5,3.2,1.2,0.8,0.6,19.3,40.5,Tier 4
121,Frankie Collins,Vanderbilt,5,2.1,20.9,7.8,4.2,4.7,2.4,0.1,19.2,40.3,Tier 4
122,Jordan Scott,Michigan State,3,3.5,20.7,5.9,3.1,1.2,0.8,0.5,11.5,40.2,Tier 4
123,Donovan Atwell,Texas Tech,5,2.1,34.7,13.5,3.3,0.8,1.2,0.1,18.9,39.7,Tier 4
124,Kur Teng,Michigan State,3,3.5,17.5,7.7,2.1,1,0.3,0.1,11.2,39.2,Tier 4
125,Devin McGlockton,Vanderbilt,5,2.1,25,9.6,6.7,1.3,0.4,0.6,18.6,39.1,Tier 4
126,Jaylin Stewart,Connecticut,2,4.2,17.7,4.5,2.8,1.2,0.5,0.3,9.3,39.1,Tier 4
127,Donovan Dent,UCLA,7,1.5,34.2,13.5,2.9,7.6,1.6,0.3,25.9,38.8,Tier 4
128,Jamarion Batemon,Iowa State,2,4.2,15.3,6.9,1.2,0.4,0.6,0.1,9.2,38.6,Tier 4
129,Adam Miller,Gonzaga,3,3.5,19.9,7.6,1.6,1.1,0.7,0,11,38.5,Tier 4
130,Jayden Ross,Connecticut,2,4.2,16.9,4.7,2.4,0.8,0.7,0.4,9,37.8,Tier 4
131,Tyler Bilodeau,UCLA,7,1.5,30.2,17.6,5.6,1.1,0.5,0.4,25.2,37.8,Tier 4
132,Jalen Washington,Vanderbilt,5,2.1,21,9.1,5.7,0.9,0.6,1.3,17.6,37,Tier 4
133,Jack Benter,Purdue,2,4.2,15,4.8,2.7,0.8,0.4,0.1,8.8,37,Tier 4
134,Seth Trimble,North Carolina,6,1.7,32,14,3.6,2.8,1.1,0.2,21.7,36.9,Tier 4
135,Cameron Ward,Michigan State,3,3.5,15.1,5,4.3,0.3,0.4,0.5,10.5,36.8,Tier 4
136,Bruce Thornton,Ohio State,8,1.2,36.4,20.2,5.1,3.9,1.2,0.2,30.6,36.7,Tier 4
137,Houston Mallette,Alabama,4,2.8,23.3,6.6,4.5,1.1,0.7,0,12.9,36.1,Tier 4
138,D.J. Wagner,Arkansas,4,2.8,23.7,7.6,1.5,2.4,0.9,0.3,12.7,35.6,Tier 4
139,Malachi Smith,Connecticut,2,4.2,15,3.5,1.5,2.7,0.6,0.1,8.4,35.3,Tier 4
140,Joshua Dent,Saint Mary's,7,1.5,36.2,13,2.4,5.7,1.6,0.2,22.9,34.4,Tier 4
141,AK Okereke,Vanderbilt,5,2.1,25.8,9.7,3.4,2,0.6,0.6,16.3,34.2,Tier 4
142,Taylor Bol Bowen,Alabama,4,2.8,18.8,6.2,4.3,0.4,0.4,0.9,12.2,34.2,Tier 4
143,J'Vonne Hadley,Louisville,6,1.7,27.8,11.8,5.2,1.7,1,0.3,20,34,Tier 4
144,Oziyah Sellers,St. John's,5,2.1,28.9,10.7,2.9,1.7,0.6,0.3,16.2,34,Tier 4
145,Austin Rapp,Wisconsin,5,2.1,22.8,9.6,4,1.6,0.5,0.5,16.2,34,Tier 4
146,Gicarri Harris,Purdue,2,4.2,15.8,4.7,1.6,0.9,0.8,0.1,8.1,34,Tier 4
147,Jaylen Petty,Texas Tech,5,2.1,30,9.5,3.9,2.2,0.6,0,16.2,34,Tier 4
148,Shelton Henderson,Miami (FL),7,1.5,30.8,13.7,4.8,2,1.1,0.4,22,33,Tier 4
149,Jake Davis,Illinois,3,3.5,20.3,5.8,2.2,0.8,0.3,0.2,9.3,32.6,Tier 4
150,Sananda Fru,Louisville,6,1.7,22,9.2,6,1.3,0.5,1.4,18.4,31.3,Tier 4
151,Duke Brennan,Villanova,8,1.2,30.9,12.4,10.3,2,0.8,0.5,26,31.2,Tier 4
152,Andrew McKeever,Saint Mary's,7,1.5,23,8.4,9.2,1.7,0.5,0.8,20.6,30.9,Tier 4
153,London Jemison,Alabama,4,2.8,15.1,6.2,3.4,0.4,0.6,0.3,10.9,30.5,Tier 4
154,Devin Tillis,Virginia,3,3.5,16.3,4.3,2.8,1.4,0.2,0,8.7,30.4,Tier 4
155,Mikey Lewis,Saint Mary's,7,1.5,26.9,14.2,2.8,2.2,0.7,0.3,20.2,30.3,Tier 4
156,Denzel Aberdeen,Kentucky,7,1.5,30.2,13.2,2.6,3.6,0.7,0.1,20.2,30.3,Tier 4
157,Divine Ugochukwu,Michigan State,3,3.5,16.1,5.1,1.5,1.5,0.4,0.1,8.6,30.1,Tier 4
158,Ian Jackson,St. John's,5,2.1,18.6,9.6,2.3,1.2,0.8,0.2,14.1,29.6,Tier 4
159,Cale Jacobsen,Nebraska,4,2.8,20.3,4.8,2.9,1.4,1.1,0.3,10.5,29.4,Tier 4
160,Tru Washington,Miami (FL),7,1.5,27.6,12.1,3.9,1.7,1.9,0,19.6,29.4,Tier 4
161,Trent Perry,UCLA,7,1.5,29.6,12.7,2.9,2.9,0.9,0.1,19.5,29.2,Tier 4
162,Eric Dailey Jr.,UCLA,7,1.5,27.5,11.3,5.8,1.3,0.9,0.2,19.5,29.2,Tier 4
163,Ernest Udeh Jr.,Miami (FL),7,1.5,27.8,6.9,9.3,0.5,1,1.5,19.2,28.8,Tier 4
164,J.P. Estrella,Tennessee,6,1.7,17.7,10.1,5.2,0.8,0.2,0.4,16.7,28.4,Tier 4
165,Dylan Darling,St. John's,5,2.1,21,7,2.5,2.5,1.4,0.1,13.5,28.4,Tier 4
166,Keba Keita,BYU,6,1.7,22.6,6.3,7.3,0.3,1,1.7,16.6,28.2,Tier 4
167,Steele Venters,Gonzaga,3,3.5,15.1,5,1.3,1,0.6,0.1,8,28,Tier 4
168,Felix Okpara,Tennessee,6,1.7,26.6,7.7,6.2,0.5,0.5,1.4,16.3,27.7,Tier 4
169,Nick Pringle,Arkansas,4,2.8,19,4.6,3.9,0.6,0.4,0.4,9.9,27.7,Tier 4
170,Malachi Moreno,Kentucky,7,1.5,22.8,8,6.4,1.8,0.6,1.6,18.4,27.6,Tier 4
