Team,Seed,Player,MPG,PPG,RPG,APG,SPG,BPG
Gonzaga,4,Joaquim ArauzMoore,2.4,0.8,0.4,0.1,0.1,0
Gonzaga,4,Cade Orness,2.6,0.4,0.1,0.1,0.1,0
Alabama,4,Labaron Philon,30.2,21.5,3.3,4.8,1.2,0.2
Alabama,4,Aden Holloway,28.5,16.6,2.8,4,0.6,0
Alabama,4,Latrell Wrightsell Jr.,27.1,13.5,2.9,2.1,1.1,0
Alabama,4,Amari Allen,28.6,11.7,7.1,3.2,1.1,0.7
Alabama,4,Aiden Sherrell,23.4,11,6.1,1.1,0.5,2.3
Alabama,4,Charles Bediako,21.6,10,4.6,0.2,0.8,1.4
Alabama,4,Houston Mallette,23.4,7,4.4,1,0.7,0
Alabama,4,Taylor Bol Bowen,18.8,6.3,4.5,0.4,0.4,0.9
Alabama,4,London Jemison,15.4,6.2,3.4,0.4,0.6,0.3
Alabama,4,Jalil Bethea,8.8,4.5,1.8,0.6,0.2,0
Alabama,4,Keitenn Bristow,12.6,3.6,4,0.5,0.6,0.6
Alabama,4,Davion Hannah,12.8,3.3,1.9,0.8,0.7,0.2
Alabama,4,Noah Williamson,8.4,1,1.5,0.3,0.3,0.3
Alabama,4,Collins Onyejiaka,4.5,1,3,0,0,0
Alabama,4,Jacob Martin,1.4,0.4,0.1,0.1,0,0.4
Alabama,4,Preston Murphy Jr.,2.2,0.4,0.4,0.4,0,0
Alabama,4,Klark James,1,0,0,0,0,0
Alabama,4,Jack Fagan,1,0,0,0,0,0
Virginia,4,Thijs De Ridder,27.5,16,6.2,1.6,0.9,0.5
Virginia,4,Malik Thomas,22.8,11.9,4.1,1.7,0.4,0.1
Virginia,4,Sam Lewis,25.1,10.2,3.5,1.4,0.7,0.2
Virginia,4,Chance Mallory,24.5,10,3.9,3.5,1.7,0.1
Virginia,4,Jacari White,17.6,9,2.3,1.4,0.6,0.1
Virginia,4,Johann GrÃ¼nloh,22,7.8,5.5,0.7,0.5,2.4
Virginia,4,Dallin Hall,28.3,6.1,3.7,4.2,0.9,0.1
Virginia,4,Ugonna Onyenso,17.7,6,4.9,0.6,0.6,2.6
Virginia,4,Devin Tillis,17,4.8,2.8,1.4,0.2,0
Virginia,4,Elijah Gertrude,6.6,1.7,0.9,0.7,0.1,0.1
Virginia,4,Martin Carrere,4.2,0.8,0.5,0.3,0.1,0.1
Virginia,4,Carter Lang,2.1,0.4,0.5,0.3,0,0
Virginia,4,Owen Odom,1.3,0.4,0.2,0,0.1,0.1
Virginia,4,Desmond Roberts,1.4,0,0.4,0,0,0
Kansas,4,Darryn Peterson,27.9,19.5,4.2,1.6,1.3,0.5
Kansas,4,Tre White,31.6,14,6.8,1.8,0.7,0.4
Kansas,4,Flory Bidunga,32,13.8,9.2,1.6,0.7,2.7
Kansas,4,Melvin Council Jr.,34.7,13.3,4.8,5,1.1,0.3
Kansas,4,Bryson Tiller,26.6,8.5,6,1.1,0.3,1.4
Kansas,4,Elmarko Jackson,17.9,4.7,1.7,1.6,0.8,0.2
Kansas,4,Jamari McDowell,18.4,3.7,1.7,1.2,0.4,0.2
Kansas,4,Kohl Rosario,11.8,3.1,1.2,0.4,0.3,0.2
Kansas,4,Jayden Dawson,9.3,2.2,0.7,0.6,0.4,0
Kansas,4,Nginyu Ngala,3.5,1.6,0.6,0.3,0.1,0
Kansas,4,Paul Mbiya,4.2,0.6,1.3,0,0,0.2
Kansas,4,Wilder Evers,2.2,0.6,0.4,0,0,0
Kansas,4,Samis Calderon,4.4,0.4,0.9,0.3,0.1,0.3
Kansas,4,Justin Cross,1.6,0,0.2,0.2,0.2,0
Kansas,4,Will Thengvall,1.4,0,0.2,0,0,0
Vanderbilt,5,Tyler Tanner,32.9,19,3.5,5.3,2.5,0.4
Vanderbilt,5,Duke Miles,28.9,16,3,4.3,2.5,0.3
Vanderbilt,5,Tyler Nickel,30.6,13.9,3.1,1.2,0.7,0.6
Vanderbilt,5,Devin McGlockton,24.8,10,7,1.4,0.4,0.7
Vanderbilt,5,AK Okereke,26,9.7,3.5,1.9,0.6,0.6
Vanderbilt,5,Jalen Washington,20.7,9,5.6,0.9,0.7,1.3
Vanderbilt,5,Frankie Collins,20.9,7.8,4.2,4.7,2.4,0.1
Vanderbilt,5,Tyler Harris,13.1,5.7,2.4,0.3,0.2,0.7
Vanderbilt,5,Chandler Bing,13.4,3.4,1.5,0.4,0.3,0.2
Vanderbilt,5,Michael James,11.1,1.5,2,0.8,0,0
Vanderbilt,5,Jayden Leverett,4,1,1.2,0,0.1,0.1
Vanderbilt,5,Jaylon Dean-Vines,2.5,0.9,0.4,0.2,0.2,0
Vanderbilt,5,Mason Nicholson,4.4,0.4,1,0,0.2,0.2
Vanderbilt,5,Miles Keeffe,1.7,0.4,0.3,0.1,0.2,0
Vanderbilt,5,Coleson Messer,1.4,0,0,0,0,0
Arkansas,5,Darius Acuff Jr.,34.7,22.2,3,6.4,0.8,0.4
Arkansas,5,Meleek Thomas,28.9,14.9,3.8,2.4,1.5,0.2
Arkansas,5,Trevon Brazile,30.7,12.9,7.1,1.6,1.5,1.6
Arkansas,5,Billy Richmond III,25.6,11.1,3.9,2,1,0.8
Arkansas,5,Malique Ewin,19.3,9.5,5.1,0.8,0.6,1
Arkansas,5,Karter Knox,22.2,8.1,4.5,1.2,0.7,0.5
Arkansas,5,D.J. Wagner,23.6,7.7,1.4,2.4,1,0.3
Arkansas,5,Nick Pringle,19,4.8,4,0.6,0.3,0.4
Arkansas,5,Isaiah Sealy,8.1,3.5,1.5,0.7,0.3,0.3
Arkansas,5,Ayden Kelley,1.6,0.6,0,0,0,0
Arkansas,5,Jaden Karuletwa,2.8,0.6,0.3,0.1,0.1,0
Arkansas,5,Elmir Dzafic,2.3,0.4,0.1,0,0.1,0.1
Arkansas,5,Amere Brown,1.9,0.1,0,0,0,0
North Carolina,5,Henri Veesaar,30.8,16.5,8.4,2,0.6,1.2
North Carolina,5,Seth Trimble,31.7,14.2,3.7,2.4,1.2,0.2
North Carolina,5,Luka Bogavac,24,10.1,2.6,2.3,0.4,0
North Carolina,5,Jarin Stevenson,25,7.8,4.2,1,0.6,0.6
North Carolina,5,Derek Dixon,21,5.7,2.3,2.6,0.3,0
North Carolina,5,Jonathan Powell,16.5,5.1,2.4,0.8,0.5,0.1
North Carolina,5,Kyan Evans,18.9,4.4,1.2,2.7,0.5,0
North Carolina,5,Zayden High,9.1,3.4,2.8,0.5,0.3,0.2
North Carolina,5,Isaiah Denis,3.3,1.9,0.6,0.1,0.1,0
North Carolina,5,Jaydon Young,7.3,1.9,1,0.4,0.1,0.1
North Carolina,5,Evan Smith,1.8,1.4,1,0.6,0,0
North Carolina,5,James Brown,5.6,1.2,1.4,0.3,0.1,0.2
North Carolina,5,Elijah Davis,1.8,0.5,0.2,0,0,0
North Carolina,5,Ivan Matlekovic,1.8,0.5,0,0,0,0
North Carolina,5,John Holbrook,1.8,0.2,0.6,0,0,0
Tennessee,5,Ja'Kobi Gillespie,34.2,18,2.9,5.6,2.1,0.2
Tennessee,5,Nate Ament,30.1,17.4,6.4,2.4,1,0.5
Tennessee,5,J.P. Estrella,17.4,9.8,5.1,0.7,0.2,0.3
Tennessee,5,Felix Okpara,26.3,7.7,6,0.5,0.4,1.3
Tennessee,5,Jaylen Carey,18.8,7.5,6.3,1.3,0.3,0.1
Tennessee,5,Bishop Boswell,26.2,6.7,4.8,2.9,1.4,0.1
Tennessee,5,DeWayne Brown II,16,5.3,3.9,1,0.3,0.4
Tennessee,5,Cade Phillips,16.9,3.8,4,0.4,0.2,1.1
Tennessee,5,Amaree Abram,11.6,3.6,1.5,0.8,0.7,0
Tennessee,5,Amari Evans,13.4,3.6,3,0.8,1,0.3
Tennessee,5,Ethan Burg,9.9,2.5,0.8,1.1,0.3,0
Tennessee,5,Troy Henderson,7.8,1.9,0.5,1.2,0.5,0
Tennessee,5,Clarence Massamba,4.3,0.4,0.2,0.3,0.1,0
Tennessee,5,Campbell Duncan,2,0,1,0,0,0
Tennessee,5,Gavin Paull,2,0,0,0,0,0
Tennessee,5,Grant Hurst,2,0,0,0,0,0
Wisconsin,6,Nick Boyd,31.2,20,3.7,3.9,0.9,0
Wisconsin,6,John Blackwell,33,18.1,4.8,2.4,1.2,0.1
Wisconsin,6,Nolan Winter,31.1,13.3,8.6,1.5,0.5,1.2
Wisconsin,6,Austin Rapp,21.7,9.3,3.8,1.5,0.5,0.5
Wisconsin,6,Braeden Carrington,17.6,8.6,2.5,1,0.4,0.3
Wisconsin,6,Andrew Rohde,25.9,6,2,2.9,1.3,0.1
Wisconsin,6,Aleksas Bieliauskas,17.8,4.3,4,0.7,0.1,0.6
Wisconsin,6,Jack Janicki,16.5,2.2,2,1.1,0.7,0.2
Wisconsin,6,Hayden Jones,7.1,1.7,1.2,0.4,0.1,0
Wisconsin,6,Zach Kinziger,5.1,1.4,0.3,0.6,0.3,0
Wisconsin,6,Jack Robison,1.8,1,0.5,0.1,0.1,0.1
Wisconsin,6,Will Garlock,7,1,1.1,0.8,0.1,0.1
Wisconsin,6,Isaac Gard,1.1,0.8,0.2,0.1,0,0
Wisconsin,6,Riccardo Greppi,1.3,0,0.4,0.1,0,0
Louisville,6,Ryan Conwell,30,18.5,4.8,2.6,1.2,0.2
Louisville,6,Mikel Brown Jr.,29.2,18.2,3.3,4.7,1.2,0.1
Louisville,6,J'Vonne Hadley,27.1,11.6,5.3,1.7,0.9,0.3
Louisville,6,Isaac McKneely,28.1,10.7,2.8,1.1,0.5,0.1
Louisville,6,Sananda Fru,22.4,9.6,6.3,1.3,0.5,1.4
Louisville,6,Adrian Wooley,21,8.3,3.9,1.5,0.8,0.1
Louisville,6,Khani Rooths,17.5,5.7,4.8,1.1,0.7,0.5
Louisville,6,Kobe Rodgers,13.9,3.5,2.5,1.5,0.9,0.2
Louisville,6,Aly Khalifa,12.2,3.2,2,2.6,0.3,0.3
Louisville,6,Kasean Pryor,6.8,2.4,1.9,0.3,0.4,0.2
Louisville,6,Vangelis Zougris,8.4,2,2.4,0.7,0.3,0.2
Louisville,6,Cole Sherman,1.2,1.2,0,0.1,0.1,0
Louisville,6,Spencer Legg,1,0.8,0.4,0.2,0,0
Louisville,6,Will Hanke,1,0.2,0.4,0,0,0.1
Kentucky,6,Otega Oweh,31.6,17.9,4.5,2.7,1.8,0.2
Kentucky,6,Denzel Aberdeen,29.5,12.8,2.5,3.5,0.6,0.1
Kentucky,6,Collin Chandler,25.9,10.2,2.9,2.2,1.2,0.3
Kentucky,6,Mouhamed Dioubate,21.5,8.5,5.5,0.9,1,1
Kentucky,6,Malachi Moreno,22.8,8.3,6.6,1.8,0.6,1.6
